Default Dataset,
X,Y
1306916700.006929,9.860439338976219
1340221409.1420116,10.258262797259171
1376856589.1906028,10.716202227840682
1413491769.239194,10.753426037887948
1450126949.287785,10.753426037887948
1486762129.3363762,10.730918617859368
1523767361.7086902,10.694175735590488
1559699442.3422074,10.65401249496171
1596667669.4821494,10.557784617639516
1632192692.5595713,10.41908504635228
1670604123.7620332,10.20366787585651
1706573209.6279225,10.139233172108021
1749869331.5035305,10.031630390971383
1785172323.1867182,9.905935106811771
1809817807.9466794,9.85832325675131
1868286075.094936,9.695384925433295
1901220731.9062955,9.581116485288192
1975389790.5039482,9.35844417573559
2009646062.7571764,9.24889157597743
2049611713.7192757,9.081297863764611
2087079511.496244,8.988613462313584
2120384220.6313267,8.82514611043934
2160627410.8362184,8.666968964127369
2195319816.185263,8.598989822652157
2238338398.8180785,8.531539701733172
2276083735.837839,8.4594005349749
2311767352.768285,8.43540910923015
2348688001.7523193,8.384260378879485
2384324040.5268583,8.325221684804514
2422624456.032203,8.258565094719872
2462590106.9943027,8.194505514638525
2501128413.2791843,8.130693268843208
2540023555.7333703,8.077640064490126
2578157447.69304,8.007174526400645
2616161821.339407,7.829000403063281
2646241788.7963305,7.695384925433293
2699423594.1771135,7.532748891575979
2739019192.81549,7.456781539701733
2771907593.0863843,7.437260681176944
2805628611.0856557,7.4396412736799675
2848924732.9612637,7.496775493752519
2883062059.8247232,7.527723196291818
2922565145.382169,7.575070536074163
2959829414.381089,7.633897621926645
2998795924.0691357,7.572954453849254
3038391522.707513,7.498891575977428
3072066284.166318,7.448105602579606
3118692876.955434,7.401551793631601
3161988998.8310423,7.368656333589827
3196625896.3315277,7.348226521563888
3235259358.9282246,7.328835513539261
3255242184.409274,7.344417573559049
