Default Dataset,
X,Y
0.17997600319957385,1337037037.0370374
0.2519664044794032,1362678062.678063
0.3839488068257566,1393447293.4472938
0.41994400746567173,1398575498.575499
0.5039328089588055,1424216524.2165246
0.61191841087855,1454985754.9857554
0.7079056125849892,1480626780.626781
0.8278896147180381,1511396011.3960118
1.283828822823624,1603703703.7037039
1.5477936275163309,1649857549.8575501
1.6677776296493798,1670370370.3703706
1.8357552326356483,1701139601.1396015
2.195707239034795,1757549857.5498579
2.2437008398880147,1760113960.1139603
2.315691241167844,1770370370.3703706
2.3876816424476734,1780626780.626781
2.459672043727503,1790883190.883191
2.531662445007332,1801139601.1396015
2.6036528462871615,1808831908.8319092
2.675643247566991,1819088319.0883193
2.7476336488468203,1829344729.3447297
3.2035728569524062,1896011396.0113962
3.251566457805626,1901139601.1396015
3.371550459938674,1911396011.3960116
3.4915344620717237,1926780626.780627
3.5395280629249433,1937037037.0370374
3.6595120650579913,1947293447.2934475
3.707505665911211,1957549857.5498579
3.779496067191041,1962678062.678063
3.8274896680442607,1972934472.9344733
4.211438474870017,2013960113.9601142
4.259432075723237,2024216524.2165244
4.379416077856285,2034472934.4729347
4.475403279562724,2049857549.8575501
4.6433808825489935,2065242165.2421656
4.691374483402213,2070370370.3703706
4.739368084255433,2080626780.6267807
5.219304092787628,2137037037.0370374
5.267297693640848,2137037037.0370374
5.315291294494068,2144729344.7293448
5.363284895347287,2149857549.85755
5.411278496200507,2157549857.549858
5.6752433008932135,2183190883.1908836
5.723236901746433,2190883190.883191
5.771230502599653,2196011396.0113964
6.203172910278629,2239601139.60114
6.251166511131848,2244729344.729345
6.467137714971336,2270370370.370371
6.515131315824555,2275498575.4985757
6.563124916677775,2275498575.4985757
6.611118517530994,2280626780.6267805
7.187041727769629,2337037037.0370374
7.235035328622849,2347293447.2934475
7.283028929476068,2347293447.2934475
7.331022530329288,2352421652.421653
7.499000133315557,2372934472.934473
7.546993734168777,2378062678.0626783
8.21890414611385,2444729344.729345
8.530862551659776,2475498575.4985757
8.578856152512998,2480626780.6267805
8.626849753366216,2480626780.6267805
8.674843354219437,2485754985.754986
9.250766564458072,2547293447.2934475
9.29876016531129,2552421652.421653
9.394747367017729,2557549857.549858
9.44274096787095,2562678062.678063
9.490734568724168,2567806267.8062677
9.610718570857216,2583190883.1908836
9.658712171710437,2588319088.3190885
10.210638581522463,2639601139.60114
10.258632182375681,2644729344.729345
10.37861618450873,2660113960.1139603
10.42660978536195,2665242165.2421656
10.570590587921608,2675498575.4985757
10.618584188774829,2680626780.626781
10.786561791761098,2701139601.139601
10.834555392614316,2701139601.139601
11.218504199440073,2742165242.165242
11.386481802426342,2757549857.5498576
11.434475403279563,2757549857.5498576
11.554459405412612,2772934472.934473
11.60245300626583,2772934472.934473
11.722437008398881,2788319088.3190885
11.770430609252099,2788319088.3190885
12.466337821623782,2860113960.1139603
12.514331422477003,2865242165.2421656
12.56232502333022,2865242165.2421656
12.610318624183442,2870370370.370371
12.65831222503666,2875498575.4985757
13.210238634848686,2926780626.7806273
13.402213038261564,2947293447.2934475
13.450206639114782,2947293447.2934475
13.522197040394612,2957549857.5498576
13.570190641247834,2957549857.5498576
13.762165044660712,2972934472.934473
13.834155445940539,2983190883.1908836
14.218104252766295,3011396011.3960114
14.290094654046126,3019088319.0883193
14.362085055325956,3024216524.216524
14.410078656179174,3024216524.216524
14.482069057459004,3029344729.3447294
14.698040261298491,3049857549.85755
14.770030662578321,3054985754.985755
14.818024263431543,3054985754.985755
15.38194907345687,3093447293.4472938
15.549926676443139,3103703703.703704
15.717904279429408,3113960113.960114
16.329822690307957,3142165242.165242
16.449806692441005,3147293447.2934475
16.569790694574056,3152421652.421653
16.689774696707104,3157549857.5498576
17.385681909078787,3183190883.1908836
17.43367550993201,3188319088.3190885
17.745633915477935,3198575498.5754986
18.201573123583522,3213960113.960114
18.369550726569788,3219088319.0883193
18.465537928276227,3219088319.0883193
18.513531529129448,3224216524.2165246
18.777496333822153,3229344729.3447294
19.28142914278096,3244729344.729345
19.47340354619384,3244729344.729345
19.593387548326888,3249857549.85755
19.785361951739766,3249857549.85755
