S11,,S21,,S22,
X,Y,X,Y,X,Y
2568000000.0000005,-31.145887359824215,2448000000.0000005,27.657950393036526,2448000000.0000005,-6.63885816443716
2592000000.0000005,-32.2322946980898,2472000000.0000005,27.667461251431373,2472000000.0000005,-6.756905988774939
2616000000.0000005,-32.656927150192644,2496000000.0000005,27.432673450170604,2496000000.0000005,-6.985892411403988
2640000000.0000005,-32.772387526149274,2520000000.0000005,27.4250509100316,2520000000.0000005,-7.217372423495277
2664000000.0000005,-32.911551636241725,2544000000.0000005,27.311465746132992,2544000000.0000005,-7.560928812539231
2688000000.0000005,-32.64421075597683,2568000000.0000005,27.30921060423882,2568000000.0000005,-7.916473894887581
2712000000.0000005,-31.867244678948524,2592000000.0000005,27.192952030273084,2592000000.0000005,-8.258586173334187
2736000000.0000005,-30.960635926979975,2616000000.0000005,27.1980561982956,2616000000.0000005,-8.725734694358685
2760000000.0000005,-29.78882515006677,2640000000.0000005,26.971999529883647,2640000000.0000005,-9.085573155104186
2784000000.0000005,-28.986715631518777,2664000000.0000005,26.949391142956205,2664000000.0000005,-9.527724258521125
2808000000.0000005,-28.51286729392166,2688000000.0000005,26.853770360401324,2688000000.0000005,-10.116033340109283
2832000000.0000005,-27.951638966189407,2712000000.0000005,26.730530822013684,2712000000.0000005,-10.589456374512551
2856000000.0000014,-27.35703699810773,2736000000.0000005,26.615276578329492,2736000000.0000005,-11.164463954102473
2880000000.0000005,-26.78403029498608,2760000000.0000005,26.49743650428261,2760000000.0000005,-11.654624846920143
2904000000.0000014,-26.10550559559927,2784000000.0000005,26.381439518788536,2784000000.0000005,-12.115783083033527
2928000000.0000005,-25.392009772065848,2808000000.0000005,26.260668322865975,2808000000.0000005,-12.590474400304096
2952000000.0000014,-24.710154984885506,2832000000.0000005,26.157589812154622,2832000000.0000005,-12.981915048624828
2976000000.0000005,-23.88915166431022,2856000000.0000014,25.930492889131664,2856000000.0000014,-13.134392427312271
3000000000.0000005,-23.25644924826576,2880000000.0000005,25.797185030065762,2880000000.0000005,-13.191359104312028
3024000000.0000005,-22.584453294435328,2904000000.0000014,25.592376378048254,2904000000.0000014,-12.809733246364239
3048000000.0000005,-21.968261833991768,2928000000.0000005,25.354663759017942,2928000000.0000005,-12.32896962325217
3072000000.0000005,-21.30953035857302,2952000000.0000014,25.105113748536382,2952000000.0000014,-11.776874118285441
3096000000.0000005,-20.593973098462598,2976000000.0000005,24.98327812470748,2976000000.0000005,-11.178981611588604
3119999999.9999995,-19.90178216452272,3000000000.0000005,24.698631359335288,3000000000.0000005,-10.610830141082666
3144000000.0000005,-19.17116298623199,3024000000.0000005,24.31967459744591,3024000000.0000005,-9.926174445734908
3168000000.0000014,-18.635309639269373,3048000000.0000005,24.05592280089458,3048000000.0000005,-9.298340563567834
3192000000.0000005,-18.126686077749795,3072000000.0000005,23.840606140045917,3072000000.0000005,-8.73862675577734
3216000000.0000014,-17.423556311496945,3096000000.0000005,23.52114424801865,3096000000.0000005,-8.053560729974173
3240000000.0000005,-16.870568459351773,3119999999.9999995,23.161762307894406,3119999999.9999995,-7.428937280340868
3264000000.0000014,-16.40707485394951,3144000000.0000005,22.813895483082344,3144000000.0000005,-6.842117411817576
3288000000.0000005,-16.018476728131027,3168000000.0000014,22.457380165431402,3168000000.0000014,-6.330918748964663
3312000000.0000005,-15.607100399447539,3192000000.0000005,22.123720410312345,3192000000.0000005,-5.881243327357076
3336000000.0000005,-15.127667543309677,3216000000.0000014,21.678008510438918,3216000000.0000014,-5.377212408165512
3360000000.0000005,-14.653510067370178,3240000000.0000005,21.293744378585153,3240000000.0000005,-5.0883298564113275
3384000000.0000005,-14.239833559338194,3264000000.0000014,20.860524310916446,3264000000.0000014,-4.716454003131915
3408000000.0000005,-13.960939019746107,3288000000.0000005,20.479633222282413,3288000000.0000005,-4.281478527976212
3431999999.9999995,-13.751569129836355,3312000000.0000005,19.989485778141873,3312000000.0000005,-4.023183373809445
3456000000.0000005,-13.436374903802722,3336000000.0000005,19.44043255340569,3336000000.0000005,-3.777582294044656
3480000000.0000014,-13.149728177706784,3360000000.0000005,19.02206398016293,3360000000.0000005,-3.6270339619561724
3504000000.0000005,-12.862392690586745,3384000000.0000005,18.38736310668066,3384000000.0000005,-3.4385941401560913
3528000000.0000014,-12.538945903385603,3408000000.0000005,17.8049235160982,3408000000.0000005,-3.2674437884479346
3552000000.0000005,-12.389005569023695,3431999999.9999995,17.31058379696333,3431999999.9999995,-3.104498630860249
3576000000.0000014,-12.22683891430163,3456000000.0000005,16.65168349903856,3456000000.0000005,-2.842843592647746
3600000000.0000005,-11.967995923782105,3480000000.0000014,15.912160806339799,3480000000.0000014,-2.673368576081316
3624000000.0000005,-11.786719982278989,3504000000.0000005,15.354803591337067,3504000000.0000005,-2.56983952358555
3648000000.0000005,-11.694708359189512,3528000000.0000014,14.79378620192022,3528000000.0000014,-2.438839305013623
3672000000.0000005,-11.514786845088459,3552000000.0000005,14.057299093273691,3552000000.0000005,-2.3766476183302174
3696000000.0000005,-11.313820817231857,3576000000.0000014,13.376522785174824,3576000000.0000014,-2.399262796550481
3720000000.0000005,-11.225480619709387,3600000000.0000005,12.610176410867613,3600000000.0000005,-2.344887101345492
3743999999.9999995,-11.04919143480663,3624000000.0000005,11.817118744462071,3624000000.0000005,-2.205216362315319
3768000000.0000005,-10.844342334716906,3648000000.0000005,11.193558755595156,3648000000.0000005,-2.1422958073693366
3792000000.0000014,-10.75543654725999,3672000000.0000005,10.562770377427597,3672000000.0000005,-2.154959150356177
3816000000.0000005,-10.583151067731634,3696000000.0000005,9.859122336850078,3696000000.0000005,-2.148225457300171
3840000000.0000014,-10.377276945689744,3720000000.0000005,9.102150215560016,3720000000.0000005,-2.162190370262479
3864000000.0000005,-10.276814373353453,3743999999.9999995,8.317917033371291,3743999999.9999995,-2.10633310572144
3888000000.0000014,-10.152599292233845,3768000000.0000005,7.619201357019371,3768000000.0000005,-2.019975507268974
3912000000.0000005,-10.047148621576014,3792000000.0000014,6.964854828640142,3792000000.0000014,-2.039383594955339
3936000000.0000005,-9.88785323459733,3816000000.0000005,6.352004870398147,3816000000.0000005,-2.0231765189610513
3960000000.0000005,-9.670918480234754,3840000000.0000014,5.632420823902088,3840000000.0000014,-2.073117567236018
3984000000.0000005,-9.58286234525412,3864000000.0000005,4.936425041746517,3864000000.0000005,-2.166061270779437
4008000000.0000005,-9.410623540542026,3888000000.0000014,4.225024129929359,3888000000.0000014,-2.1420877258811757
4032000000.0000005,-9.243573753498168,3912000000.0000005,3.5549790885590014,3912000000.0000005,-2.1795184485017174
4055999999.9999995,-9.196274714640964,3936000000.0000005,2.996000072776006,3936000000.0000005,-2.318403230652521
4080000000.0000005,-8.999921021935933,3960000000.0000005,2.353207162520903,3960000000.0000005,-2.3914471398946304
4104000000.0000014,-8.974303023498884,3984000000.0000005,1.7202189544373852,3984000000.0000005,-2.410708646617991
4128000000.0000005,-8.731621808013657,4008000000.0000005,1.2124384104987342,4008000000.0000005,-2.547379452565309
4152000000.0000014,-8.640006586714826,4032000000.0000005,0.5011232154724965,4032000000.0000005,-2.6451037517602742
4176000000.0000005,-8.529330329443738,4055999999.9999995,-0.0379226681145326,4055999999.9999995,-2.8227899033075516
4200000000.0000014,-8.472395355985427,4080000000.0000005,-0.4926059253403565,4080000000.0000005,-3.185381911972925
4224000000.0000005,-8.395868062171147,4104000000.0000014,-0.9903234569002279,4104000000.0000014,-3.5769972581346465
4248000000.0000005,-8.29328360404699,4128000000.0000005,-1.5790988727575694,4128000000.0000005,-4.204762034945205
4272000000.0000005,-8.171729042375382,4152000000.0000014,-2.1901969176178184,4152000000.0000014,-4.9375858374688875
4296000000,-8.09293673713556,4176000000.0000005,-2.8836426181173778,4176000000.0000005,-5.971499544473147
4320000000,-8.008839966850132,4200000000.0000014,-3.451688066885424,4200000000.0000014,-7.244439038144122
4344000000,-7.922963317668668,4224000000.0000005,-4.05452692781779,4224000000.0000005,-8.271252238328621
4368000000,-7.838831375740774,4248000000.0000005,-4.78661149630468,4248000000.0000005,-9.131020057949307
4392000000,-7.759968727216041,4272000000.0000005,-5.606588533996465,4272000000.0000005,-9.565268512282472
4416000000.000002,-7.689899958244077,4296000000,-6.635490754839687,4296000000,-10.028227443663006
4440000000,-7.632149654974462,4320000000,-7.454265622645927,4320000000,-10.364876235742969
4464000000.000002,-7.572229291157363,4344000000,-8.043117997778538,4344000000,-10.372732696775792
4488000000,-7.585532772190177,4368000000,-10.192139340268909,4368000000,-9.439864956821964
4512000000.000002,-7.344748552826083,4392000000,-12.276325202632421,4392000000,-8.138405906334057
4536000000,-7.362326985954411,4416000000.000002,-12.895882697954967,4416000000.000002,-6.847667040341378
4560000000,-7.347540620366168,4440000000,-14.652459929404948,4440000000,-5.581670792519645
4584000000,-7.114179836652568,4464000000.000002,-16.260424171062724,4464000000.000002,-4.682283803135469
4608000000,-7.122026337987812,4488000000,-17.914329846174184,4488000000,-3.9831587850197465
4632000000,-7.118720380892967,4512000000.000002,-19.67378392468477,4512000000.000002,-3.290630114994201
4656000000,-7.000106820443072,4536000000,-21.430661546420765,4536000000,-2.836070079389849
4680000000,-6.883525191604242,4560000000,-23.18271713170325,4560000000,-2.4916958161924967
4704000000,-6.883447892886423,4584000000,-24.817979887382137,4584000000,-2.259215483766255
4728000000.000002,-6.884703484046057,4608000000,-26.459086076404574,4608000000,-2.0284092734246
4752000000,-6.769580579994404,4632000000,-28.09526964360181,4632000000,-1.9104480706825342
4776000000.000002,-6.649300273378934,4656000000,-29.617907977230743,4656000000,-1.677060668662243
4800000000,-6.646477560047458,4680000000,-31.3763584249386,4680000000,-1.6784016615045658
4824000000.000002,-6.646553266809754,4704000000,-33.24984351752596,4704000000,-1.560723465422356
4848000000,-6.65034743435826,4728000000.000002,-35.01047215660576,4728000000.000002,-1.5611021418898474
4872000000,-6.540718302015918,4752000000,-36.41952805901788,4752000000,-1.4442818595126141
4896000000,-6.4160545675530685,4776000000.000002,-37.71877025420275,4776000000.000002,-1.4411676469641108
4920000000,-6.409126414930412,4800000000,-38.75288370582487,4800000000,-1.441567723049026
4944000000,-6.40965560587761,4824000000.000002,-41.10366732093287,4824000000.000002,-1.444706140287515
4968000000,-6.415632339878073,4848000000,-44.87220633462502,4848000000,-1.3341011372480764
4992000000,-6.311745795964171,4872000000,-47.26859509838438,4872000000,-1.2098717482833194
5016000000,-6.183402963114752,4896000000,-49.70575081960355,4896000000,-1.2053864811365713
5040000000.000002,-6.17120984379919,4920000000,-49.402679132321936,4920000000,-1.1993956120417693
5064000000,-6.174682253610371,4944000000,-47.528697048629766,4944000000,-1.3142465276191118
5088000000.000002,-6.173529481055368,4968000000,-46.760403844576715,4968000000,-1.324539951768429
5112000000,-6.17445230947898,4992000000,-48.79439924464336,4992000000,-1.3304863674381338
5136000000.000002,-6.171901098150144,5016000000,-50.91091941296207,5016000000,-1.2184229659726569
5160000000,-6.181434504408166,5040000000.000002,-53.68494552931081,5040000000.000002,-1.201755836313346
5184000000,-6.087161058009528,5064000000,-55.29663288861022,5064000000,-1.2057900527595322
5208000000,-5.9538867165802,5088000000.000002,-54.02668280901578,5088000000.000002,-1.207327509564692
5232000000,-5.932978691362678,5112000000,-52.7618038214283,5112000000,-1.1964257754572998
5256000000,-5.938491110111613,5136000000.000002,-51.42975278823653,5136000000.000002,-1.3023249847228442
5280000000,-5.936943142134879,5160000000,-51.22459598387353,5160000000,-1.3389698484657089
5304000000,-5.9373815904554945,5184000000,-52.12397020750652,5184000000,-1.2248699474095304
5328000000,-5.93723981107599,5208000000,-52.54860465557536,5208000000,-1.2001203105026619
5352000000,-5.937352301180454,5232000000,-51.3922041208173,5232000000,-1.206778192693399
5376000000,-5.937045474416173,5256000000,-49.86319085979399,5256000000,-1.204905755152403
5400000000,-5.938169606873608,5280000000,-48.1744160786876,5280000000,-1.2054311023693742
5424000000,-5.933946223033836,5304000000,-47.37239746087229,5304000000,-1.2052840495864103
5448000000,-5.9498231158244295,5328000000,-48.3571099077261,5328000000,-1.2053250582320487
5472000000,-5.855495836270215,5352000000,-50.51798251829777,5352000000,-1.2053139042902927
5496000000,-5.810144038374936,5376000000,-53.152189396104816,5376000000,-1.2053159489726681
5520000000,-5.821418571438308,5400000000,-55.79309623874346,5400000000,-1.2053193766852672
5544000000,-5.818313558934236,5424000000,-57.29986866319422,5424000000,-1.205303381011376
5568000000,-5.819167591180211,5448000000,-56.38448345802155,5448000000,-1.2053643787417627
5592000000,-5.818932986090857,5472000000,-55.06592528168564,5472000000,-1.2051351030548716
5616000000,-5.818997329480176,5496000000,-53.08758199441937,5496000000,-1.2059949695338403
5640000000,-5.81897980144781,5520000000,-52.024137339754205,5520000000,-1.2027743620248046
5664000000,-5.818984204285975,5544000000,-52.23018979427711,5544000000,-1.2148226261210837
5688000000,-5.818984470566875,5568000000,-52.39626694834085,5568000000,-1.1411233453934813
5712000000,-5.818978938911904,5592000000,-52.45827166280749,5592000000,-1.0048416949475794
5736000000,-5.819000696345121,5616000000,-52.26018008142724,5616000000,-0.9520406256635212
5760000000,-5.818919737083874,5640000000,-51.72212698012423,5640000000,-1.0301370500700529
5784000000,-5.8192195248212,5664000000,-51.22379753221662,5664000000,-1.1674037698863131
5808000000,-5.818110830725068,5688000000,-51.13976619871181,5688000000,-1.213939915119802
5832000000,-5.822206980910629,5712000000,-51.48377046038924,5712000000,-1.2006745146807063
5856000000,-5.807088262479667,5736000000,-52.00267257127365,5736000000,-1.2150661937936107
5880000000,-5.876785585228681,5760000000,-51.81860058824023,5760000000,-1.1524355249332814
5904000000,-5.949422730505248,5784000000,-50.681424477242516,5784000000,-1.0125869889150962
5928000000,-5.933999939341653,5808000000,-49.486091810845934,5808000000,-0.9584892522761379
5952000000,-5.9381658656304666,5832000000,-48.93590873363182,5832000000,-0.9774571175306406
5976000000,-5.937058485693775,5856000000,-49.311128529708796,5856000000,-0.9443472620530926
6000000000,-5.937290859358441,5880000000,-50.430298376270486,5880000000,-1.0843251650949313
6024000000,-5.93747198214988,5904000000,-50.96017373248338,5904000000,-1.2301627876447228
6048000000,-5.936530646668253,5928000000,-50.55781137426548,5928000000,-1.1965099961551573
6072000000,-5.940048317744306,5952000000,-50.45432271528678,5952000000,-1.2153608478921427
6096000000,-5.92717688013574,5976000000,-50.4960287634275,5976000000,-1.163722430019483
6120000000,-5.981059972749819,6000000000,-50.0565757090629,6000000000,-1.024377670982787
6144000000,-6.067646380976569,6024000000,-49.48499397941539,6024000000,-0.9579222924878721
6168000000,-6.054676352607508,6048000000,-49.794073924769236,6048000000,-0.9768294444549781
6192000000,-6.047374051917835,6072000000,-51.08872783982845,6072000000,-0.9475011144712369
6216000000,-6.093393610433125,6096000000,-51.926506210817095,6096000000,-1.058880523420349
6240000000,-6.186519765387743,6120000000,-51.5192766913985,6120000000,-1.2307689691557826
6264000000,-6.17067326000506,6144000000,-50.27991030389451,6144000000,-1.198494590299795
6288000000,-6.174157160636952,6168000000,-49.333019626537464,6168000000,-1.207141564916462
6312000000,-6.1758919974152775,6192000000,-49.689118659795824,6192000000,-1.204831153314295
6336000000,-6.165834159400305,6216000000,-50.915696220096706,6216000000,-1.2054343386344613
6360000000,-6.205802865829227,6240000000,-51.75825175732224,6240000000,-1.2053258418074577
6384000000,-6.297114717962465,6264000000,-52.006923469237094,6264000000,-1.2051643714239333
6408000000,-6.316385947227431,6288000000,-51.140577844428904,6288000000,-1.2058960303452224
6432000000,-6.4229862176198935,6312000000,-50.17521490971093,6312000000,-1.2032144426034677
6456000000,-6.406886969188221,6336000000,-50.003071478012785,6336000000,-1.212894118268693
6480000000,-6.412497322171035,6360000000,-50.391939355258955,6360000000,-1.175292401050534
6504000000,-6.406130111328359,6384000000,-51.083914915640335,6384000000,-1.0752079729586228
6528000000,-6.426318626901512,6408000000,-51.87171371672362,6408000000,-1.0896779035051765
6552000000,-6.559009494372006,6432000000,-51.81763575850604,6432000000,-1.0879532790184214
6576000000,-6.654499061692938,6456000000,-52.58905463506325,6456000000,-1.0809218803186909
6600000000,-6.644934696722764,6480000000,-52.99027943173921,6480000000,-1.1109799139173475
6624000000,-6.648398573443785,6504000000,-53.08592136106253,6504000000,-1.2146929981891006
6648000000,-6.644062295277671,6528000000,-52.11119968683386,6528000000,-1.2079168589373808
6672000000,-6.6575549361078,6552000000,-50.47301131980264,6552000000,-1.185777794418037
6696000000,-6.786639192477686,6576000000,-49.4239425035514,6576000000,-1.0780658251044244
6720000000,-6.88919219758548,6600000000,-48.98523473269418,6600000000,-1.085163010010504
6744000000,-6.88280273024543,6624000000,-49.32266892033989,6624000000,-1.102719899126953
6768000000,-6.882142760125852,6648000000,-49.56610111090332,6648000000,-1.214510479307549
6792000000,-6.89005444416042,6672000000,-49.014176185648296,6672000000,-1.2028882020118132
6816000000,-7.0156845705014845,6696000000,-48.289366891165685,6696000000,-1.2061822180317563
6840000000,-7.12383731313016,6720000000,-47.66077385256628,6720000000,-1.2042493001768193
6864000000,-7.1202043370115575,6744000000,-47.871569649638715,6744000000,-1.2084746953766299
6888000000,-7.117836593959311,6768000000,-48.324176329425455,6768000000,-1.1945816295291323
6912000000,-7.128352526326708,6792000000,-48.39755275576549,6792000000,-1.0836628911120982
6936000000,-7.362385524824347,6816000000,-48.131666792774254,6816000000,-1.0786700852489517
6960000000,-7.355869866280862,6840000000,-47.66365970404091,6840000000,-0.9699575739841819
6984000000,-7.356780014835493,6864000000,-47.459942657016796,6864000000,-1.09300797522436
7008000000,-7.35734768656107,6888000000,-47.446708348983364,6888000000,-1.0856208112864536
