Default Dataset,
X,Y
0.1467811681588529,15069843.326375393
0.3002618917108322,14915060.342138728
0.45374261526281146,14763831.048866678
0.6839637005907804,14604112.382734712
0.6967537608867929,14446795.748458456
0.9377972049267669,14291676.125405341
1.3746269565747014,14113246.479042204
1.8350691272306534,13912222.687966716
2.3496809650226,13707362.855888776
1.8350691272306534,14295928.405192064
2.6615037925105582,13546464.092782382
2.2955112978866055,14088629.765589386
3.087148714102071,13353992.481383406
2.7559534685425433,13895151.035293553
3.884488200542421,13162289.37410997
3.523357086302468,13577293.121236116
4.455204336439493,13001299.044054389
3.983799256958406,13383814.390940282
5.143431390462283,12836776.314210994
5.787197758694191,12682885.865783729
5.211645045374269,13038316.658269152
6.401120652902122,12536481.201564338
7.015043547110039,12389212.793013267
7.628966441317971,12241944.3844622
8.366526585053904,12067084.143093646
8.434740239965905,12264401.737085823
9.403587307387795,11899037.884786103
9.202143857725815,12084742.916096836
10.13326024727452,11716212.00124763
10.596260429989655,11558434.703327816
11.414071932445552,11405535.020457475
11.350873987453568,11601046.090357255
12.715147085693417,11263993.857818086
12.118277605213478,11421387.269368269
13.977099701565265,11178771.083759207
14.479519506013204,11038682.088563323
15.77473013689307,10916147.64382684
17.029660758876915,10763214.088629765
18.284591380860775,10609670.831551507
19.611748225692637,10460903.572542528
20.866678847676482,10301110.87118213
22.094524636092345,10148659.996640995
23.301906328034605,10001161.256268146
24.387142944150085,9840735.14239785
25.246782573659985,9693898.60601262
26.27461728341987,9553260.705419432
25.931542724891898,9721538.424626311
27.420305743346134,9390897.09446004
27.00590778975578,9569519.422251014
28.36917774601163,9226866.965025412
28.233753578171644,9403680.510568872
29.21603020890433,9086743.923798557
30.003296037947436,8922422.492354028
30.888067267835325,8765119.407008465
31.874657409099214,8608651.839055639
33.23722516596628,8535790.206098996
33.64394908337903,8402312.915377049
34.986905414458874,8288874.4931500275
36.40054365770081,8139522.490816401
37.93958219136367,7998327.352246594
39.48507123548235,7906878.025642872
40.0045444536583,7776651.957174521
41.480320641658125,7722966.9248671625
41.99979385983407,7594866.996292176
43.4755700478339,7545434.243771536
43.995043266009844,7422649.664929951
45.47081945400967,7377469.192196032
45.99029267218562,7254684.613354446
47.466068860185445,7211630.28051389
47.98554207836139,7088845.701672304
49.461318266361204,7045791.368831748
49.98079148453715,6922475.255016822
51.45656767253698,6882078.5970429685
51.97604089071294,6764077.832961444
53.41482428893357,6726303.4141894
54.315244533771846,6613901.485160392
55.71703514221332,6568756.448091365
56.61745538705159,6458197.173636604
58.03093976490652,6415618.691153133
58.754491747365876,6301604.43937166
60.17169687003417,6270330.164089611
60.418661307022376,6140799.923222726
61.69255131250381,6021257.707718516
62.90234054520769,5850337.947026504
64.24517808315784,5705763.7255161945
65.69328217309217,5641440.533602053
66.59370241793044,5535487.895582907
68.00331753384711,5491833.240890108
69.19505021083896,5412571.996336143
70.67884767647237,5368957.988435423
72.19830683963701,5296057.966841815
73.69815457701444,5244271.6955781095
