Default Dataset,
X,Y
0.25894105894105834,17.632109127985416
0.7336663336663332,18.040531399247424
1.208391608391608,18.48898093471664
1.6831168831168828,18.95410849693886
2.1578421578421576,19.399222427057477
2.6325674325674324,19.814315909020685
3.1072927072927072,20.269436655191104
3.582017982017982,20.781262692321736
4.056743256743257,21.289753124101765
4.531468531468532,21.78490113447939
5.0061938061938065,22.270042328805218
5.480919080919081,22.735169891027436
5.955644355644356,23.206968663950857
6.430369630369631,23.675431831523674
6.905094905094904,24.133888183044697
7.379820179820179,24.585673323864512
7.854545454545454,25.02411604328193
8.329270729270728,25.485908000153547
8.803996003996003,25.95103556237577
9.278721278721278,26.38947828179318
9.753446553446553,26.79790055305519
10.228171828171828,27.226336456420803
10.702897102897104,27.644765543734618
11.177622377622377,28.039845393594224
11.65234765234765,28.40824040064902
12.127072927072927,28.786642223755624
12.6017982017982,29.22508494317304
13.076523476523477,29.656856451889254
13.55124875124875,30.125319619462072
14.025974025974026,30.58044036563249
14.5006993006993,30.995533847595702
14.975424575424576,31.427305356311916
15.450149850149849,31.86241247037873
15.924875124875125,32.300855189796145
16.3996003996004,32.76264714666776
16.874325674325675,33.23778152494179
17.349050949050948,33.6995734818134
17.823776223776225,34.158029833334425
18.298501498501498,34.633164211608445
18.773226773226774,35.09829177383067
19.247952047952047,35.57676175745529
19.722677322677324,36.068574162482314
20.197402597402597,36.55037975145754
20.672127872127874,37.012171708329156
21.146853146853147,37.483970481252584
21.62157842157842,37.9457624381242
22.096303696303696,38.394211973593414
22.57102897102897,38.799298639504826
23.045754245754246,39.187707278663225
23.52047952047952,39.57278031247103
23.865734265734265,39.86738879677024
