Trace
Swept SA
A.16.09,N9010A
1294000000,-20.4954032897949
1297000000,-20.5040836334229
1300000000,-20.5186443328857
1303000000,-20.4832305908203
1306000000,-20.5095500946045
1309000000,-20.5241107940674
1312000000,-20.5298519134521
1315000000,-20.5297145843506
1318000000,-20.529577255249
1321000000,-20.546594619751
1324000000,-20.5327491760254
1327000000,-20.5432224273682
1330000000,-20.5432758331299
1333000000,-20.5235500335693
1336000000,-20.5185241699219
1339000000,-20.5195789337158
1342000000,-20.51953125
1345000000,-20.511999130249
1348000000,-20.5037994384766
1351000000,-20.5213890075684
1354000000,-20.5020980834961
1357000000,-20.5085964202881
1360000000,-20.5217094421387
1363000000,-20.5186538696289
1366000000,-20.5158348083496
1369000000,-20.5152683258057
1372000000,-20.5176410675049
1375000000,-20.5141334533691
1378000000,-20.5194473266602
1381000000,-20.5335788726807
1384000000,-20.517578125
1387000000,-20.529504776001
1390000000,-20.5318756103516
1393000000,-20.5283699035645
1396000000,-20.5307426452637
1399000000,-20.5389938354492
1402000000,-20.5472469329834
1405000000,-20.5466785430908
1408000000,-20.5664615631104
1411000000,-20.5692234039307
1414000000,-20.566104888916
1417000000,-20.5453491210938
1420000000,-20.5569286346436
1423000000,-20.574390411377
1426000000,-20.5653915405273
1429000000,-20.5857925415039
1432000000,-20.565034866333
1435000000,-20.5626525878906
1438000000,-20.5793781280518
1441000000,-20.5792007446289
1444000000,-20.5731430053711
1447000000,-20.5759029388428
1450000000,-20.5838088989258
1453000000,-20.5814266204834
1456000000,-20.5871276855469
1459000000,-20.6104679107666
1462000000,-20.6014709472656
1465000000,-20.6159915924072
1468000000,-20.6246318817139
1471000000,-20.6215133666992
1474000000,-20.6301555633545
1477000000,-20.6329174041748
1480000000,-20.64817237854
1483000000,-20.6325607299805
1486000000,-20.6147441864014
1489000000,-20.6204452514648
1492000000,-20.6026287078857
1495000000,-20.590690612793
1498000000,-20.5791320800781
1501000000,-20.5668163299561
1504000000,-20.5559692382813
1507000000,-20.5421848297119
1510000000,-20.5630073547363
1513000000,-20.5528297424316
1516000000,-20.5625629425049
1519000000,-20.5722961425781
1522000000,-20.5776195526123
1525000000,-20.5800018310547
1528000000,-20.5897350311279
1531000000,-20.6134967803955
1534000000,-20.6003799438477
1537000000,-20.6130523681641
1540000000,-20.6330738067627
1543000000,-20.6246299743652
1546000000,-20.6298789978027
1549000000,-20.6204280853271
1552000000,-20.6168575286865
1555000000,-20.6059379577637
1558000000,-20.6185359954834
1561000000,-20.6120262145996
1564000000,-20.5908184051514
1567000000,-20.5843086242676
1570000000,-20.5954360961914
1573000000,-20.5889263153076
1576000000,-20.6088733673096
1579000000,-20.6523399353027
1582000000,-20.6252517700195
1585000000,-20.630500793457
1588000000,-20.6269302368164
1591000000,-20.6226902008057
1594000000,-20.6374282836914
1597000000,-20.6333808898926
1600000000,-20.6385765075684
1603000000,-20.6340866088867
1606000000,-20.6524448394775
1609000000,-20.6884422302246
1612000000,-20.6509456634521
1615000000,-20.6457862854004
1618000000,-20.6523876190186
1621000000,-20.6494998931885
1624000000,-20.6396732330322
1627000000,-20.6609687805176
1630000000,-20.6764183044434
1633000000,-20.6603469848633
1636000000,-20.678882598877
1639000000,-20.6937446594238
1642000000,-20.6894989013672
1645000000,-20.6727600097656
