freq	db(AC.Vout1/(AC.VinPos-AC.VinNeg))
1.81970085862365671E0	1.38184808077191046E-3
1.86208713667697023E0	1.38184811342270120E-3
1.90546071797779204E0	1.38184808456689989E-3
1.94984459977304536E0	1.38184811739702651E-3
1.99526231498434803E0	1.38184808872441822E-3
2.04173794468547998E0	1.38184809095358840E-3
2.08929613087048649E0	1.38184810868282115E-3
2.13796208951918976E0	1.38184814192561456E-3
2.18776162396703588E0	1.38184809828709687E-3
2.23872113858636368E0	1.38184811636536020E-3
2.29086765278635340E0	1.38184808836767403E-3
2.34422881533907512E0	1.38184813750198399E-3
2.39883291903923279E0	1.38184815597941579E-3
2.45470891570537875E0	1.38184812840018090E-3
2.51188643153055224E0	1.38184810097521393E-3
2.57039578279047776E0	1.38184808911008794E-3
2.63026799191765637E0	1.38184810820651927E-3
2.69153480394986966E0	1.38184809667499775E-3
2.75422870336181935E0	1.38184810073224185E-3
2.81838293128882578E0	1.38184812037632443E-3
2.88403150315171741E0	1.38184809402544717E-3
2.95120922669225827E0	1.38184809868047997E-3
3.01995172042867166E0	1.38184810355148668E-3
3.09029543254105121E0	1.38184809325603619E-3
3.16227766019666845E0	1.38184808320162911E-3
3.23593656932542384E0	1.38184807339790705E-3
3.31131121485592850E0	1.38184812545559343E-3
3.38844156142294439E0	1.38184810079202069E-3
3.46736850455716228E0	1.38184813801685280E-3
3.54813389236855370E0	1.38184808314763519E-3
3.63078054773479320E0	1.38184809019767618E-3
3.71535229100651376E0	1.38184814377104370E-3
3.80189396324143747E0	1.38184807450092229E-3
3.89045144997969805E0	1.38184808259034275E-3
3.98107170557296142E0	1.38184812185729555E-3
4.07380277808024438E0	1.38184813072769686E-3
4.16869383474363087E0	1.38184809381525708E-3
4.26579518805739610E0	1.38184810354184506E-3
4.36515832244435575E0	1.38184812912716803E-3
4.46683592155358777E0	1.38184810899328547E-3
4.57088189619400342E0	1.38184810476056130E-3
4.67735141291856849E0	1.38184810105234779E-3
4.78630092327434031E0	1.38184811329735813E-3
4.89778819373382834E0	1.38184807991958047E-3
5.01187233632353824E0	1.38184813954217622E-3
5.12861383996595332E0	1.38184812280218638E-3
5.24807460255156233E0	1.38184810672169123E-3
5.37031796375793835E0	1.38184809133732989E-3
5.49540873863327484E0	1.38184809207781556E-3
5.62341325196218378E0	1.38184815517529458E-3
5.75439937343197272E0	1.38184808048265828E-3
5.88843655361805141E0	1.38184808361236700E-3
6.02559586080754617E0	1.38184810301733441E-3
6.16595001868064774E0	1.38184806173911445E-3
6.30957344486966853E0	1.38184812921201550E-3
6.45654229041625438E0	1.38184808989685348E-3
6.60693448014767704E0	1.38184808242836121E-3
6.76082975399360819E0	1.38184807606095594E-3
6.91830970926528721E0	1.38184810164049399E-3
7.07945784391949218E0	1.38184809762567307E-3
7.24435960083026487E0	1.38184807948184551E-3
7.41310241309185347E0	1.38184809344887083E-3
7.58577575037689389E0	1.38184807800858755E-3
7.76247116637441792E0	1.38184807941049681E-3
7.94328234733282734E0	1.38184808233387235E-3
8.12830516173358575E0	1.38184811764385485E-3
8.31763771112195549E0	1.38184809302463441E-3
8.51138038212173598E0	1.38184807014864086E-3
8.70963589966157947E0	1.38184807988872738E-3
8.91250938144110805E0	1.38184809154173505E-3
9.12010839366570814E0	1.38184808980043616E-3
9.33254300807956128E0	1.38184810554925530E-3
9.54992586032713398E0	1.38184806189916731E-3
9.77237220967409037E0	1.38184809753889759E-3
1.00000000001192824E1	1.38184810478370146E-3
1.02329299229302118E1	1.38184806835527696E-3
1.04712854806351485E1	1.38184808075841215E-3
1.07151930525057959E1	1.38184808052893882E-3
1.09647819615652575E1	1.38184808318234609E-3
1.12201845431568192E1	1.38184811966669208E-3
1.14815362151098932E1	1.38184806693215623E-3
1.17489755495403481E1	1.38184807910774587E-3
1.20226443463232768E1	1.38184806396635640E-3
1.23026877082771713E1	1.38184803706397186E-3
1.25892541180993511E1	1.38184810637073152E-3
1.28824955170934596E1	1.38184808727237241E-3
1.31825673857307546E1	1.38184807235467111E-3
1.34896288260879071E1	1.38184807721217995E-3
1.38038426462050334E1	1.38184805585958070E-3
1.41253754464086745E1	1.38184808549829174E-3
1.44543977076454899E1	1.38184808936655790E-3
1.47910838818735080E1	1.38184809849921475E-3
1.51356124845588758E1	1.38184806694372608E-3
1.54881661893271150E1	1.38184802576192345E-3
1.58489319248190941E1	1.38184806760900636E-3
1.62181009738030713E1	1.38184808499306455E-3
1.65958690745953485E1	1.38184807820335109E-3
1.69824365248433184E1	1.38184804755032897E-3
1.73780082877259257E1	1.38184802416139485E-3
1.77827941006278678E1	1.38184805457722937E-3
1.81970085863451159E1	1.38184809295521394E-3
1.86208713668807802E1	1.38184806268400528E-3
