0,0.917,1.5661
100,0.930,1.5678
200,0.991,1.580
300,1.45,1.657
400,1.94,1.741
500,2.452,1.818
600,2.934,1.882
700,3.423,1.941
800,3.927,2.002
900,4.418,2.067
1000,4.916,2.125
1100,5.417,2.178
1200,5.905,2.228
1300,6.401,2.280
1400,6.887,2.335
1500,7.389,2.387
1600,7.884,2.432
1700,8.373,2.473
1800,8.872,2.519
1900,9.364,2.573
2000,9.862,2.636
2100,10.345,2.695
2200,10.834,2.738
2300,11.340,2.777
2400,11.822,2.827
2500,12.323,2.887
2600,12.818,2.947
2700,13.309,2.999
2800,13.807,3.040
2900,14.291,3.071
3000,14.784,3.095
3100,15.279,3.116
3200,15.787,3.136
3300,16.276,3.155
3400,16.773,3.176
3500,17.271,3.196
3600,17.771,3.217
3700,18.260,3.237
3800,18.756,3.256
3900,19.261,3.274
4000,19.754,3.290
