Default Dataset,
X,Y
0.060000000000000164,2264170921.73982
0.11999999999999988,2275338764.890865
0.17999999999999994,2287955893.363227
0.24,2299911058.841038
0.30000000000000004,2311676356.17531
0.3600000000000001,2323108936.095404
0.41999999999999993,2334370982.564
0.4800000000000002,2344348714.2654805
0.54,2352772528.3166122
0.6000000000000001,2361314812.875276
0.6600000000000001,2370139280.49447
0.72,2378406602.8380885
0.7800000000000002,2387282377.515361
0.8400000000000003,2396128249.462316
0.9000000000000006,2402843987.6795106
0.9600000000000004,2410270781.1225524
1.0200000000000005,2419159796.956572
1.0800000000000005,2426958547.446214
1.1400000000000006,2435102340.4463725
1.2000000000000006,2444442402.991535
1.2600000000000005,2452360644.477701
1.3200000000000005,2459100241.0324206
1.380000000000001,2465599232.9807396
1.4400000000000006,2471778653.5368047
1.500000000000001,2477984327.690306
1.5600000000000003,2484620073.254245
1.6200000000000012,2491126657.3648486
1.6800000000000008,2496861335.774882
1.7400000000000013,2502182279.5569086
1.800000000000001,2507565481.1404266
1.8600000000000014,2513267989.8568907
1.9200000000000006,2518832041.0067816
1.9800000000000015,2524113097.036821
2.040000000000001,2529427761.9818687
2.1000000000000014,2534729279.316674
2.160000000000002,2539741440.317004
2.2200000000000024,2544761258.490011
2.280000000000001,2549652246.139121
2.3400000000000025,2554180826.773814
2.400000000000002,2558886006.898325
2.4600000000000017,2563365956.2502966
2.5200000000000014,2567507578.637005
2.580000000000002,2571775399.3922358
2.6400000000000015,2575840451.071974
2.700000000000003,2579714064.8032594
2.7600000000000016,2584369703.726447
2.820000000000003,2589688825.4465218
2.8800000000000017,2593548870.0682564
2.940000000000002,2596641081.0422807
